[14-Nov-2012 09:35:59 UTC] PHP Parse error:  syntax error, unexpected '/' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 270
[14-Nov-2012 09:36:18 UTC] PHP Parse error:  syntax error, unexpected '/' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 270
[14-Nov-2012 09:36:19 UTC] PHP Parse error:  syntax error, unexpected '/' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 270
[14-Nov-2012 09:36:45 UTC] PHP Parse error:  syntax error, unexpected '/' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 270
[14-Nov-2012 09:36:46 UTC] PHP Parse error:  syntax error, unexpected '/' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 270
[14-Nov-2012 11:55:18 UTC] PHP Fatal error:  Only variables can be passed by reference in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/html.tpl.php on line 78
[14-Nov-2012 11:55:30 UTC] PHP Fatal error:  Only variables can be passed by reference in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/html.tpl.php on line 78
[14-Nov-2012 11:55:49 UTC] PHP Fatal error:  Only variables can be passed by reference in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/html.tpl.php on line 78
[14-Nov-2012 11:55:59 UTC] PHP Fatal error:  Only variables can be passed by reference in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/html.tpl.php on line 78
[14-Nov-2012 12:48:26 UTC] PHP Fatal error:  Call to undefined function drupal_set_html_head() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 5
[14-Nov-2012 12:48:27 UTC] PHP Fatal error:  Call to undefined function drupal_set_html_head() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 5
[14-Nov-2012 12:48:33 UTC] PHP Fatal error:  Call to undefined function drupal_set_html_head() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 5
[14-Nov-2012 12:48:36 UTC] PHP Fatal error:  Call to undefined function drupal_set_html_head() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 5
[14-Nov-2012 12:48:39 UTC] PHP Fatal error:  Call to undefined function drupal_set_html_head() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 5
[14-Nov-2012 12:48:41 UTC] PHP Fatal error:  Call to undefined function drupal_set_html_head() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 5
[14-Nov-2012 15:15:35 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/node--noticias.tpl.php on line 7
[14-Nov-2012 15:15:37 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/node--noticias.tpl.php on line 7
[14-Nov-2012 15:30:29 UTC] PHP Parse error:  syntax error, unexpected $end in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/page.tpl.php on line 195
[14-Nov-2012 15:35:19 UTC] PHP Parse error:  syntax error, unexpected ')' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/node--noticias.tpl.php on line 11
[14-Nov-2012 16:01:48 UTC] PHP Parse error:  syntax error, unexpected ';' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/page.tpl.php on line 172
[15-Nov-2012 09:45:24 UTC] PHP Parse error:  syntax error, unexpected '}' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 63
[15-Nov-2012 09:45:25 UTC] PHP Parse error:  syntax error, unexpected '}' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 63
