1,(0093) 20 231 04 05/06/07/08,00 873 600 85 25 30,emb.kabul@maec.es
2,227 49 61,222 53 83,emb.tirana@maec.es
3,43 908-0,45 37 68,cog.dusseldorf@maec.es 
4,99 79 80-0,226 59 27,cog.stuttgart@maec.es
5,254 007-0,257 99 557,emb.berlin@maec.es 
6,254 007 161/162/163/164/165/166/167,254 007 420,emb.berlin.nac@maec.es 
7,41 46 46-0,41 74 49,cog.hamburgo@maec.es 
8,(0)3222-332 32 49,,
9,95 91 66 0,596 47 42,cog.francfort@maec.es 
10,998 47 90,981 02 06,cog.munich@maec.es 
11,80 00 80,86 10 75,cog.andorra@maec.es
12,80 00 30,86 85 00,emb.andorra@maec.es
13,222 39 11 66/ 87,222 33 28 84,emb.luanda@maec.es
14,849 38 68,849 38 69,
15,488 06 06,488 04 20,emb.riad@maec.es
16,23 97 86/ 98 14,68 10 35/ 23 99 28,emb.argel@maec.es
17,68 12 14/ 34,68 12 23,cog.argel@maec.es
18,33 21 65/ 65 05,33 13 32/ 65 03,
19,425 39 47/ 425 84 83/ 459 09 15/ 459 09 16,438 01 25,cog.mendoza@maec.es
20,469 74 90/ 468 13 57/ 468 25 36,469 16 02,cog.cordoba@maec.es
21,4809 4900,4809 4919/ 4807 3701,emb.buenosaires@maec.es
22,48 14 91 00,48 11 00 79,cog.buenosaires@maec.es
23,452 25 49/ 33 47,451 33 30,cog.bahiablanca@maec.es
24,447 01 00,447 02 00,cog.rosario@maec.es
25,00389 2 321 54 11,00 389 2 3220 612,emb.skopje@maec.es
26,9347 1966/ 9347 1997,9347 7330,cog.melbourne@maec.es
27,6273 35 55,6273 3918,emb.canberra@maec.es
28,9261 2433/ 9261 2443,9283 1695,cog.sydney@maec.es
29,505 57 88,505 57 88 125,emb.viena@maec.es
30,883 3288/ 883 3488,883 7252,emb.dhaka@maec.es
31,"2220 35 43, 2220 41 89 y 2220 32 08",2221 08 25,emb.yaunde@maec.es 
32,230 03 40,230 93 80/ 230 01 62,emb.bruselas@maec.es
33,509 87 70/ 509 87 85,509 87 84/ 512 89 16,cog.bruselas@maec.es
34,243 35 18/ 243 31 39/ 243 01 18/ 243 12 03,243 27 52,emb.lapaz@maec.es
35,(591-3) 312 13 49,(591-3) 312 13 68,cog.santacruzdelasierra@maec.es
36,584 000,239 155,emb.sarajevo@maec.es
37,3321 19 01/ 3321 11 66/ 3321 23 19,3330 37 67,cog.portoalegre@maec.es
38,3701 16 00/ 3701 1626,3242 08 99,emb.brasilia@maec.es
39,3087 2600,3063 2048/ 3087 2620,cog.saopaulo@maec.es
40,2543 3200/ 2543 3112,2543 30 96,cog.riodejaneiro@maec.es
41,3336 9055,3336 0266,cog.salvadorbahia@maec.es
42,21 62 02 61 y 21 63 02 61,21 64 02 61,emb.kualalumpur@maec.es 
43,+359 2 946 12 09,+359 2 946 12 01,emb.sofia@maec.es
44,"22 44 48 50, 22 44 45 77 y 22 44 57 20",22 44 71 22,emb.abidjan@maec.es 
45,"266 60 18, 266 60 19, 266 69 36",266 69 38,emb.daressalaam@maec.es 
46,4129 3000,4129 3020,emb.nuevadelhi@maec.es 
47,260 18 00/ 01/ 02,262 13 22,emb.praia@maec.es
48,661 82 84/85/86/87,661 92 20 y 661 92 21,emb.bangkok@maec.es 
49,2220 35 43/ 2220 41 89/ 2220 32 08,2221 08 25,emb.yaunde@maec.es
50,977 1661/ 977 3923/ 977 4075,593 4949,cog.toronto@maec.es
51,613 747 2252/ 613 747 7293/ 613 747 1143/ 613 747 6181,613 744 1224,emb.ottawa@maec.es
52,935 52 35,935 46 55,cog.montreal@maec.es
53,"2220 35 43, 2220 41 89 y 2220 32 08",2221 08 25,emb.yaunde@maec.es 
54,204 97 86,204 58 14,santiagochile@comercio.mityc.es 
55,235 27 54/55/61,236 15 47 y 235 10 49,emb.santiagodechile@maec.es 
56,+ 852 2525 3041/42,852 2877 2407,cog.hongkong@maec.es 
57,"6532 0780/0781/0782, 6532 7870 y 6532 7871",6532 0784 y 6532 5752,cog.pekin@maec.es 
58,"6532 3629, 6532 3728 y 6532 1445",6532 3401,emb.pekin@maec.es 
59,86-21- 6321 35 43,86-21- 6321 13 96 y 86-21- 6321 17 26,cog.shanghai@maec.es 
60,22450 410,22517 214 y 22491 291,emb.nicosia@maec.es 
61,622 00 90,621 08 09 y 655 53 05,emb.bogota@maec.es 
62,628 39 10,628 39 38 y 628 39 39,cog.bogota@maec.es 
63,664 09 04,664 45 09,cog.cartagenadeindias@maec.es 
64,460 01 23,460 22 07 y 460 22 80,emb.pretoria@maec.es 
65,(0)818 84 31 95,870 600 367 511,emb.kinshasa@maec.es 
66,"794 35 81, 794 35 82 y 793 57 03",796 82 07,emb.seul@maec.es 
67,"22 44 48 50, 22 44 45 77 y 22 44 57 20",22 44 71 22,emb.abidjan@maec.es 
68,"2222 57 45, 2221 70 05 y 2222 19 33",2257 51 26,emb.sanjosedecostarica@maec.es 
69,"483 43 65, 483 4367 y 484 89 50",484 86 08 y 484 87 11,emb.zagreb@maec.es 
70,868 68 68,866 80 15,cog.lahabana@maec.es 
